wind_code,name,industry,in_index_50,in_index_300,in_index_500,in_index_1000
000811.SZ,冰轮环境,工业,0,0,0,1
000813.SZ,德展健康,医疗保健,0,0,0,1
000825.SZ,太钢不锈,材料,0,0,1,0
000828.SZ,东莞控股,工业,0,0,0,1
000829.SZ,天音控股,信息技术,0,0,0,1
000830.SZ,鲁西化工,材料,0,0,1,0
000831.SZ,中国稀土,材料,0,0,1,0
000833.SZ,粤桂股份,工业,0,0,0,1
000837.SZ,秦川机床,工业,0,0,0,1
000848.SZ,承德露露,日常消费,0,0,0,1
000858.SZ,五粮液,日常消费,0,1,0,0
000860.SZ,顺鑫农业,日常消费,0,0,0,1
000875.SZ,电投绿能,公用事业,0,0,0,1
000876.SZ,新希望,日常消费,0,1,0,0
000878.SZ,云南铜业,材料,0,0,1,0
000880.SZ,潍柴重机,工业,0,0,0,1
000883.SZ,湖北能源,公用事业,0,0,1,0
000885.SZ,城发环境,工业,0,0,0,1
000887.SZ,中鼎股份,可选消费,0,0,1,0
000893.SZ,亚钾国际,材料,0,0,1,0
000895.SZ,双汇发展,日常消费,0,1,0,0
000898.SZ,鞍钢股份,材料,0,0,1,0
000899.SZ,赣能股份,公用事业,0,0,0,1
000901.SZ,航天科技,可选消费,0,0,0,1
000902.SZ,新洋丰,材料,0,0,0,1
000913.SZ,钱江摩托,可选消费,0,0,0,1
000917.SZ,电广传媒,通讯服务,0,0,0,1
000921.SZ,海信家电,可选消费,0,0,1,0
000923.SZ,河钢资源,材料,0,0,0,1
000927.SZ,中国铁物,工业,0,0,0,1
000928.SZ,中钢国际,工业,0,0,0,1
000930.SZ,中粮科技,材料,0,0,0,1
000932.SZ,华菱钢铁,材料,0,0,1,0
000933.SZ,神火股份,材料,0,0,1,0
000935.SZ,四川双马,材料,0,0,0,1
000937.SZ,冀中能源,能源,0,0,1,0
000938.SZ,紫光股份,信息技术,0,1,0,0
000950.SZ,重药控股,医疗保健,0,0,0,1
000951.SZ,中国重汽,工业,0,0,1,0
000958.SZ,电投产融,公用事业,0,0,1,0
000959.SZ,首钢股份,材料,0,0,1,0
000960.SZ,锡业股份,材料,0,0,1,0
000963.SZ,华东医药,医疗保健,0,1,0,0
000966.SZ,长源电力,公用事业,0,0,0,1
000967.SZ,盈峰环境,工业,0,0,1,0
000969.SZ,安泰科技,材料,0,0,0,1
000970.SZ,中科三环,材料,0,0,0,1
000975.SZ,山金国际,材料,0,1,0,0
000977.SZ,浪潮信息,信息技术,0,1,0,0
000983.SZ,山西焦煤,能源,0,1,0,0
000987.SZ,越秀资本,金融,0,0,1,0
000990.SZ,诚志股份,材料,0,0,0,1
000997.SZ,新大陆,信息技术,0,0,1,0
000999.SZ,华润三九,医疗保健,0,1,0,0
001203.SZ,大中矿业,材料,0,0,0,1
001213.SZ,中铁特货,工业,0,0,1,0
001221.SZ,悍高集团,工业,0,0,1,0
001227.SZ,兰州银行,金融,0,0,0,1
001236.SZ,弘业期货,金融,0,0,0,1
001286.SZ,陕西能源,公用事业,0,0,1,0
001287.SZ,中电港,信息技术,0,0,0,1
001301.SZ,尚太科技,材料,0,0,0,1
001308.SZ,康冠科技,信息技术,0,0,0,1
001309.SZ,德明利,信息技术,0,0,0,1
001337.SZ,四川黄金,材料,0,0,0,1
001339.SZ,智微智能,信息技术,0,0,0,1
001356.SZ,富岭股份,可选消费,0,0,0,1
001382.SZ,新亚电缆,工业,0,0,0,1
001389.SZ,广合科技,信息技术,0,0,1,0
001391.SZ,国货航,工业,0,1,0,0
001696.SZ,宗申动力,可选消费,0,0,1,0
001914.SZ,招商积余,房地产,0,0,0,1
001965.SZ,招商公路,工业,0,1,0,0
001979.SZ,招商蛇口,房地产,0,1,0,0
002001.SZ,新和成,医疗保健,0,1,0,0
002003.SZ,伟星股份,可选消费,0,0,0,1
002004.SZ,华邦健康,材料,0,0,0,1
002006.SZ,精工科技,工业,0,0,0,1
002007.SZ,华兰生物,医疗保健,0,0,1,0
002008.SZ,大族激光,信息技术,0,0,1,0
002010.SZ,传化智联,工业,0,0,0,1
002011.SZ,盾安环境,工业,0,0,0,1
002015.SZ,协鑫能科,公用事业,0,0,0,1
002017.SZ,东信和平,信息技术,0,0,0,1
002019.SZ,亿帆医药,医疗保健,0,0,0,1
002020.SZ,京新药业,医疗保健,0,0,0,1
002023.SZ,海特高新,工业,0,0,0,1
002025.SZ,航天电器,信息技术,0,0,1,0
002027.SZ,分众传媒,通讯服务,0,1,0,0
002028.SZ,思源电气,工业,0,1,0,0
002032.SZ,苏泊尔,可选消费,0,0,1,0
002036.SZ,联创电子,信息技术,0,0,0,1
